;;13 Uhr;0;19;1
;;15 Uhr;2;45;0
;;17 Uhr;0;38;1
;;19 Uhr;1;11;0
;;;;;
Donnerstag,;16.11.17;9 Uhr;0;15;0
;;11 Uhr;0;29;0
;;13 Uhr;1;34;2
;;15 Uhr;2;43;2
;;17 Uhr;1;35;1
;;19 Uhr;0;10;2
;;;;;
Freitag,;17.11.17;9 Uhr;0;6;1
;;11 Uhr;0;19;0
;;13 Uhr;0;27;0
;;15 Uhr;0;37;0
;;17 Uhr;0;26;2
;;19 Uhr;0;14;0
;;;;;
Samstag,;18.11.17;9 Uhr;1;18;0
;;11 Uhr;0;45;2
;;13 Uhr;0;43;1
;;15 Uhr;0;40;2
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;20.11.17;9 Uhr;0;8;0
;;11 Uhr;0;23;0
;;13 Uhr;0;34;0
;;15 Uhr;0;30;1
;;17 Uhr;0;35;1
;;19 Uhr;0;6;0
;;;;;
Dienstag,;21.11.17;9 Uhr;0;3;0
;;11 Uhr;0;24;2
;;13 Uhr;0;27;0
;;15 Uhr;2;34;2
;;17 Uhr;4;36;2
;;19 Uhr;3;18;1
;;;;;
Mittwoch,;22.11.17;9 Uhr;0;9;1
;;11 Uhr;0;19;2
;;13 Uhr;3;26;2
;;15 Uhr;1;29;2
;;17 Uhr;0;31;0
;;19 Uhr;0;9;0
;;;;;
Donnerstag,;23.11.17;9 Uhr;0;8;0
;;11 Uhr;0;23;0
;;13 Uhr;1;36;1
;;15 Uhr;3;47;2
;;17 Uhr;0;38;1
;;19 Uhr;1;19;0
;;;;;
Freitag,;24.11.17;9 Uhr;0;4;1
;;11 Uhr;0;25;2
;;13 Uhr;0;28;1
;;15 Uhr;0;35;1
;;17 Uhr;0;22;0
;;19 Uhr;0;9;0
;;;;;
Samstag,;25.11.17;9 Uhr;0;12;0
;;11 Uhr;0;22;0
;;13 Uhr;0;20;0
;;15 Uhr;0;22;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;27.11.17;9 Uhr;0;9;0
;;11 Uhr;0;21;0
;;13 Uhr;2;19;0
;;15 Uhr;0;37;0
;;17 Uhr;1;32;0
;;19 Uhr;0;13;0
;;;;;
Dienstag,;28.11.17;9 Uhr;0;6;0
;;11 Uhr;0;31;0
;;13 Uhr;0;33;1
;;15 Uhr;1;41;2
;;17 Uhr;1;44;2
;;19 Uhr;1;18;1
;;;;;
Mittwoch,;29.11.17;9 Uhr;0;12;1
;;11 Uhr;0;33;1
;;13 Uhr;0;31;1
;;15 Uhr;1;38;1
;;17 Uhr;0;12;0
;;19 Uhr;0;6;0
;;;;;
Donnerstag,;30.11.17;9 Uhr;1;10;0
;;11 Uhr;0;23;0
;;13 Uhr;1;47;2
;;15 Uhr;0;53;2
;;17 Uhr;1;44;2
;;19 Uhr;1;12;1
;;;;;
Freitag,;1.12.17;9 Uhr;0;6;0
;;11 Uhr;0;24;1
;;13 Uhr;0;33;0
;;15 Uhr;0;32;1
;;17 Uhr;0;31;1
;;19 Uhr;0;10;0
;;;;;
Samstag,;2.12.17;9 Uhr;0;4;1
;;11 Uhr;0;22;1
;;13 Uhr;0;32;1
;;15 Uhr;1;36;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;4.12.17;9 Uhr;1;9;0
;;11 Uhr;0;21;1
;;13 Uhr;0;26;1
;;15 Uhr;0;44;1
;;17 Uhr;0;31;1
;;19 Uhr;0;16;0
;;;;;
Dienstag,;5.12.17;9 Uhr;0;3;0
;;11 Uhr;0;28;0
;;13 Uhr;0;22;6
;;15 Uhr;0;41;1
;;17 Uhr;0;46;1
;;19 Uhr;0;20;0
;;;;;
Mittwoch,;6.12.17;9 Uhr;0;18;2
;;11 Uhr;0;30;0
;;13 Uhr;0;30;2
;;15 Uhr;0;43;0
;;17 Uhr;0;39;0
;;19 Uhr;0;14;0
;;;;;
Donnerstag,;7.12.17;9 Uhr;0;20;0
;;11 Uhr;0;33;2
;;13 Uhr;1;39;1
;;15 Uhr;0;44;2
;;17 Uhr;0;37;0
;;19 Uhr;0;6;0
;;;;;
Freitag,;8.12.17;9 Uhr;0;10;0
;;11 Uhr;0;22;1
;;13 Uhr;0;22;1
;;15 Uhr;0;33;2
;;17 Uhr;0;22;1
;;19 Uhr;0;6;0
;;;;;
Samstag,;9.12.17;9 Uhr;0;18;0
;;11 Uhr;0;29;0
;;13 Uhr;1;48;0
;;15 Uhr;1;39;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;11.12.17;9 Uhr;0;7;1
;;11 Uhr;0;16;0
;;13 Uhr;0;29;0
;;15 Uhr;0;26;0
;;17 Uhr;1;27;0
;;19 Uhr;0;6;0
;;;;;
Dienstag,;12.12.17;9 Uhr;1;7;0
;;11 Uhr;1;25;0
;;13 Uhr;0;25;2
;;15 Uhr;4;34;1
;;17 Uhr;0;26;1
;;19 Uhr;0;12;0
;;;;;
Mittwoch,;13.12.17;9 Uhr;0;16;1
;;11 Uhr;2;34;1
;;13 Uhr;0;25;0
;;15 Uhr;1;37;0
;;17 Uhr;0;33;1
;;19 Uhr;0;14;0
;;;;;
Donnerstag,;14.12.17;9 Uhr;1;11;0
;;11 Uhr;0;27;1
;;13 Uhr;0;38;2
;;15 Uhr;1;42;2
;;17 Uhr;0;22;0
;;19 Uhr;0;13;0
;;;;;
Freitag,;15.12.17;9 Uhr;0;15;0
;;11 Uhr;0;32;0
;;13 Uhr;0;34;0
;;15 Uhr;0;43;1
;;17 Uhr;0;30;0
;;19 Uhr;0;8;0
;;;;;
Samstag,;16.12.17;9 Uhr;0;10;0
;;11 Uhr;0;30;0
;;13 Uhr;0;43;1
;;15 Uhr;0;44;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;18.12.17;9 Uhr;0;12;0
;;11 Uhr;1;24;1
;;13 Uhr;2;29;0
;;15 Uhr;0;34;1
;;17 Uhr;0;35;0
;;19 Uhr;0;11;0
;;;;;
Dienstag,;19.12.17;9 Uhr;0;6;1
;;11 Uhr;0;24;1
;;13 Uhr;0;28;0
;;15 Uhr;0;32;0
;;17 Uhr;0;25;1
;;19 Uhr;0;12;0
;;;;;
Mittwoch,;20.12.17;9 Uhr;0;20;0
;;11 Uhr;0;33;0
;;13 Uhr;0;21;0
;;15 Uhr;1;34;1
;;17 Uhr;0;32;0
;;19 Uhr;0;10;0
;;;;;
Donnerstag,;21.12.17;9 Uhr;0;7;0
;;11 Uhr;0;21;0
;;13 Uhr;0;34;1
;;15 Uhr;2;42;1
;;17 Uhr;0;25;1
;;19 Uhr;0;4;0
;;;;;
Freitag,;22.12.17;9 Uhr;1;9;0
;;11 Uhr;0;20;1
;;13 Uhr;0;24;1
;;15 Uhr;0;21;1
;;17 Uhr;0;12;0
;;19 Uhr;1;11;0
;;;;;
Samstag,;23.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;25.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Dienstag,;26.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Mittwoch,;27.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Donnerstag,;28.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Freitag,;29.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Samstag,;30.12.17;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
Montag,;1.1.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Dienstag,;2.1.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Mittwoch,;3.1.18;9 Uhr;0;39;0
;;11 Uhr;0;73;1
;;13 Uhr;2;63;2
;;15 Uhr;1;67;2
;;17 Uhr;3;58;1
;;19 Uhr;1;20;1
;;;;;
Donnerstag,;4.1.18;9 Uhr;1;41;0
;;11 Uhr;0;64;0
;;13 Uhr;2;71;1
;;15 Uhr;3;75;2
;;17 Uhr;3;45;1
;;19 Uhr;0;24;0
;;;;;
Freitag,;5.1.18;9 Uhr;0;51;0
;;11 Uhr;4;77;1
;;13 Uhr;1;69;1
;;15 Uhr;2;80;0
;;17 Uhr;0;58;1
;;19 Uhr;0;17;2
;;;;;
Samstag,;6.1.18;9 Uhr;0;20;0
;;11 Uhr;0;40;1
;;13 Uhr;0;42;0
;;15 Uhr;0;46;1
;;17 Uhr;0;29;0
;;19 Uhr;0;0;0
;;;;;
Montag,;8.1.18;9 Uhr;1;52;2
;;11 Uhr;1;64;2
;;13 Uhr;0;58;2
;;15 Uhr;5;72;2
;;17 Uhr;0;56;1
;;19 Uhr;0;18;0
;;;;;
Dienstag,;9.1.18;9 Uhr;0;48;1
;;11 Uhr;0;70;1
;;13 Uhr;0;73;1
;;15 Uhr;2;74;1
;;17 Uhr;4;71;2
;;19 Uhr;2;33;1
;;;;;
Mittwoch,;10.1.18;9 Uhr;2;56;2
;;11 Uhr;2;82;0
;;13 Uhr;1;83;1
;;15 Uhr;3;84;2
;;17 Uhr;2;73;2
;;19 Uhr;0;16;0
;;;;;
Donnerstag,;11.1.18;9 Uhr;0;60;1
;;11 Uhr;0;83;0
;;13 Uhr;3;74;2
;;15 Uhr;2;82;1
;;17 Uhr;0;57;1
;;19 Uhr;0;17;0
;;;;;
Freitag,;12.1.18;9 Uhr;1;50;1
;;11 Uhr;0;73;0
;;13 Uhr;0;71;1
;;15 Uhr;0;69;1
;;17 Uhr;2;53;0
;;19 Uhr;1;24;2
;;;;;
Samstag,;13.1.18;9 Uhr;0;50;0
;;11 Uhr;0;62;0
;;13 Uhr;0;56;1
;;15 Uhr;0;59;0
;;17 Uhr;0;42;1
;;19 Uhr;0;0;0
;;;;;
Montag,;15.1.18;9 Uhr;0;28;1
;;11 Uhr;0;49;0
;;13 Uhr;0;47;2
;;15 Uhr;0;54;0
;;17 Uhr;0;45;2
;;19 Uhr;0;17;0
;;;;;
Dienstag,;16.1.18;9 Uhr;1;32;0
;;11 Uhr;1;52;1
;;13 Uhr;0;50;2
;;15 Uhr;0;62;1
;;17 Uhr;1;40;2
;;19 Uhr;0;15;0
;;;;;
Mittwoch,;17.1.18;9 Uhr;0;48;1
;;11 Uhr;0;63;1
;;13 Uhr;0;64;1
;;15 Uhr;3;66;1
;;17 Uhr;0;45;1
;;19 Uhr;0;34;1
;;;;;
Donnerstag,;18.1.18;9 Uhr;0;21;1
;;11 Uhr;0;43;2
;;13 Uhr;1;51;2
;;15 Uhr;0;57;2
;;17 Uhr;1;41;1
;;19 Uhr;0;17;0
;;;;;
Freitag,;19.1.18;9 Uhr;0;28;0
;;11 Uhr;2;42;1
;;13 Uhr;0;49;1
;;15 Uhr;0;49;0
;;17 Uhr;1;34;1
;;19 Uhr;0;11;0
;;;;;
Samstag,;20.1.18;9 Uhr;0;21;0
;;11 Uhr;0;35;0
;;13 Uhr;0;32;1
;;15 Uhr;0;34;0
;;17 Uhr;1;28;0
;;19 Uhr;0;0;0
;;;;;
Montag,;22.1.18;9 Uhr;0;24;0
;;11 Uhr;0;42;1
;;13 Uhr;0;41;0
;;15 Uhr;0;47;2
;;17 Uhr;0;32;1
;;19 Uhr;0;14;1
;;;;;
Dienstag,;23.1.18;9 Uhr;0;25;0
;;11 Uhr;0;39;1
;;13 Uhr;0;43;2
;;15 Uhr;1;48;2
;;17 Uhr;0;38;1
;;19 Uhr;0;11;1
;;;;;
Mittwoch,;24.1.18;9 Uhr;1;34;1
;;11 Uhr;2;45;2
;;13 Uhr;1;47;1
;;15 Uhr;2;56;2
;;17 Uhr;0;47;1
;;19 Uhr;0;14;0
;;;;;
Donnerstag,;25.1.18;9 Uhr;0;19;1
;;11 Uhr;1;43;1
;;13 Uhr;1;45;2
;;15 Uhr;0;49;2
;;17 Uhr;1;36;0
;;19 Uhr;0;15;0
;;;;;
Freitag,;26.1.18;9 Uhr;0;18;0
;;11 Uhr;0;23;1
;;13 Uhr;0;24;1
;;15 Uhr;0;31;1
;;17 Uhr;0;20;0
;;19 Uhr;0;6;0
;;;;;
Samstag,;27.1.18;9 Uhr;0;12;1
;;11 Uhr;0;25;2
;;13 Uhr;2;29;2
;;15 Uhr;1;29;1
;;17 Uhr;2;18;0
;;19 Uhr;0;0;0
;;;;;
Montag,;29.1.18;9 Uhr;0;8;1
;;11 Uhr;0;18;0
;;13 Uhr;0;18;1
;;15 Uhr;0;33;0
;;17 Uhr;0;25;0
;;19 Uhr;0;8;0
;;;;;
Dienstag,;30.1.18;9 Uhr;0;10;0
;;11 Uhr;0;30;0
;;13 Uhr;0;33;0
;;15 Uhr;0;34;1
;;17 Uhr;1;31;1
;;19 Uhr;0;10;1
;;;;;
Mittwoch,;31.1.18;9 Uhr;0;12;0
;;11 Uhr;0;26;2
;;13 Uhr;0;28;1
;;15 Uhr;0;28;0
;;17 Uhr;1;21;1
;;19 Uhr;0;5;0
;;;;;
Donnerstag,;1.2.18;9 Uhr;0;6;1
;;11 Uhr;0;20;1
;;13 Uhr;1;36;2
;;15 Uhr;0;33;2
;;17 Uhr;2;25;1
;;19 Uhr;1;9;1
;;;;;
Freitag,;2.2.18;9 Uhr;0;21;1
;;11 Uhr;2;34;1
;;13 Uhr;4;29;0
;;15 Uhr;0;28;0
;;17 Uhr;0;12;0
;;19 Uhr;0;1;0
;;;;;
Samstag,;3.2.18;9 Uhr;1;7;0
;;11 Uhr;1;17;0
;;13 Uhr;1;20;1
;;15 Uhr;0;21;2
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;5.2.18;9 Uhr;0;10;0
;;11 Uhr;0;19;0
;;13 Uhr;0;16;0
;;15 Uhr;0;18;0
;;17 Uhr;0;8;0
;;19 Uhr;0;3;0
;;;;;
Dienstag,;6.2.18;9 Uhr;0;8;0
;;11 Uhr;0;18;0
;;13 Uhr;0;15;0
;;15 Uhr;1;20;2
;;17 Uhr;2;16;2
;;19 Uhr;3;10;1
;;;;;
Mittwoch,;7.2.18;9 Uhr;0;7;1
;;11 Uhr;0;20;1
;;13 Uhr;0;23;0
;;15 Uhr;0;26;0
;;17 Uhr;0;16;0
;;19 Uhr;0;2;0
;;;;;
Donnerstag,;8.2.18;9 Uhr;0;13;1
;;11 Uhr;0;19;0
;;13 Uhr;0;16;1
;;15 Uhr;1;18;0
;;17 Uhr;1;12;1
;;19 Uhr;0;0;0
;;;;;
Freitag,;9.2.18;9 Uhr;0;3;0
;;11 Uhr;0;12;0
;;13 Uhr;0;10;0
;;15 Uhr;0;11;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Samstag,;10.2.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;12.2.18;9 Uhr;0;5;0
;;11 Uhr;0;12;0
;;13 Uhr;0;14;2
;;15 Uhr;0;16;1
;;17 Uhr;0;15;0
;;19 Uhr;0;3;1
;;;;;
Dienstag,;13.2.18;9 Uhr;0;6;0
;;11 Uhr;0;18;0
;;13 Uhr;0;14;0
;;15 Uhr;0;17;1
;;17 Uhr;0;16;2
;;19 Uhr;1;4;0
;;;;;
Mittwoch,;14.2.18;9 Uhr;0;3;0
;;11 Uhr;0;13;0
;;13 Uhr;0;8;0
;;15 Uhr;0;21;0
;;17 Uhr;0;7;0
;;19 Uhr;0;1;0
;;;;;
Donnerstag,;15.2.18;9 Uhr;1;2;0
;;11 Uhr;1;9;0
;;13 Uhr;0;14;0
;;15 Uhr;0;12;1
;;17 Uhr;0;12;0
;;19 Uhr;0;3;1
;;;;;
Freitag,;16.2.18;9 Uhr;0;4;0
;;11 Uhr;0;11;0
;;13 Uhr;0;17;0
;;15 Uhr;0;21;0
;;17 Uhr;0;14;0
;;19 Uhr;0;3;0
;;;;;
Samstag,;17.2.18;9 Uhr;0;6;0
;;11 Uhr;0;14;0
;;13 Uhr;0;17;1
;;15 Uhr;0;13;1
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;19.2.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Dienstag,;20.2.18;9 Uhr;0;4;0
;;11 Uhr;0;13;1
;;13 Uhr;0;12;0
;;15 Uhr;1;18;0
;;17 Uhr;0;23;1
;;19 Uhr;0;2;0
;;;;;
Mittwoch,;21.2.18;9 Uhr;1;14;0
;;11 Uhr;3;27;1
;;13 Uhr;0;32;2
;;15 Uhr;0;36;1
;;17 Uhr;1;29;1
;;19 Uhr;0;7;0
;;;;;
Donnerstag,;22.2.18;9 Uhr;1;12;0
;;11 Uhr;1;28;1
;;13 Uhr;0;25;1
;;15 Uhr;0;27;1
;;17 Uhr;0;15;2
;;19 Uhr;0;5;0
;;;;;
Freitag,;23.2.18;9 Uhr;0;10;0
;;11 Uhr;0;20;0
;;13 Uhr;0;22;1
;;15 Uhr;0;31;1
;;17 Uhr;0;24;0
;;19 Uhr;0;3;0
;;;;;
Samstag,;24.2.18;9 Uhr;1;8;0
;;11 Uhr;0;20;0
;;13 Uhr;0;19;1
;;15 Uhr;0;25;1
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;26.2.18;9 Uhr;0;6;0
;;11 Uhr;0;20;2
;;13 Uhr;0;13;0
;;15 Uhr;0;14;1
;;17 Uhr;0;13;0
;;19 Uhr;0;5;0
;;;;;
Dienstag,;27.2.18;9 Uhr;0;12;0
;;11 Uhr;2;29;1
;;13 Uhr;0;24;2
;;15 Uhr;0;29;0
;;17 Uhr;0;36;0
;;19 Uhr;0;9;0
;;;;;
Mittwoch,;28.2.18;9 Uhr;0;12;0
;;11 Uhr;0;25;0
;;13 Uhr;1;31;0
;;15 Uhr;0;51;1
;;17 Uhr;0;35;0
;;19 Uhr;0;11;0
;;;;;
Donnerstag,;1.3.18;9 Uhr;0;8;0
;;11 Uhr;0;17;0
;;13 Uhr;0;19;2
;;15 Uhr;1;22;1
;;17 Uhr;0;21;0
;;19 Uhr;0;15;0
;;;;;
Freitag,;2.3.18;9 Uhr;0;10;0
;;11 Uhr;0;32;0
;;13 Uhr;0;26;2
;;15 Uhr;1;41;1
;;17 Uhr;0;25;0
;;19 Uhr;0;5;0
;;;;;
Samstag,;3.3.18;9 Uhr;0;11;1
;;11 Uhr;3;20;0
;;13 Uhr;1;29;2
;;15 Uhr;1;24;1
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;5.3.18;9 Uhr;0;13;1
;;11 Uhr;0;26;0
;;13 Uhr;0;36;0
;;15 Uhr;0;38;1
;;17 Uhr;0;22;1
;;19 Uhr;1;9;1
;;;;;
Dienstag,;6.3.18;9 Uhr;0;12;1
;;11 Uhr;0;23;0
;;13 Uhr;2;26;2
;;15 Uhr;2;34;1
;;17 Uhr;0;27;0
;;19 Uhr;0;10;1
;;;;;
Mittwoch,;7.3.18;9 Uhr;0;14;0
;;11 Uhr;0;32;1
;;13 Uhr;0;34;1
;;15 Uhr;0;41;0
;;17 Uhr;0;34;0
;;19 Uhr;0;5;0
;;;;;
Donnerstag,;8.3.18;9 Uhr;0;12;0
;;11 Uhr;1;29;0
;;13 Uhr;0;51;0
;;15 Uhr;0;52;1
;;17 Uhr;0;23;1
;;19 Uhr;0;9;0
;;;;;
Freitag,;9.3.18;9 Uhr;0;10;0
;;11 Uhr;0;25;0
;;13 Uhr;0;24;1
;;15 Uhr;0;24;1
;;17 Uhr;0;12;0
;;19 Uhr;0;10;0
;;;;;
Samstag,;10.3.18;9 Uhr;1;14;0
;;11 Uhr;0;19;1
;;13 Uhr;0;26;1
;;15 Uhr;0;34;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;12.3.18;9 Uhr;0;9;0
;;11 Uhr;2;21;0
;;13 Uhr;2;21;1
;;15 Uhr;2;31;1
;;17 Uhr;2;18;2
;;19 Uhr;0;7;0
;;;;;
Dienstag,;13.3.18;9 Uhr;0;11;1
;;11 Uhr;0;23;0
;;13 Uhr;0;24;1
;;15 Uhr;0;24;1
;;17 Uhr;0;18;0
;;19 Uhr;0;10;0
;;;;;
Mittwoch,;14.3.18;9 Uhr;0;14;0
;;11 Uhr;0;19;0
;;13 Uhr;1;29;1
;;15 Uhr;1;32;0
;;17 Uhr;1;29;1
;;19 Uhr;0;8;0
;;;;;
Donnerstag,;15.3.18;9 Uhr;0;6;0
;;11 Uhr;0;24;1
;;13 Uhr;0;28;1
;;15 Uhr;0;31;0
;;17 Uhr;0;13;0
;;19 Uhr;0;2;0
;;;;;
Freitag,;16.3.18;9 Uhr;0;11;0
;;11 Uhr;0;25;1
;;13 Uhr;0;31;1
;;15 Uhr;0;36;0
;;17 Uhr;0;21;0
;;19 Uhr;0;3;0
;;;;;
Samstag,;17.3.18;9 Uhr;0;5;0
;;11 Uhr;0;23;1
;;13 Uhr;0;25;1
;;15 Uhr;0;23;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;19.3.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Dienstag,;20.3.18;9 Uhr;0;14;0
;;11 Uhr;0;25;0
;;13 Uhr;0;31;2
;;15 Uhr;2;36;0
;;17 Uhr;0;29;1
;;19 Uhr;0;10;0
;;;;;
Mittwoch,;21.3.18;9 Uhr;0;16;0
;;11 Uhr;0;37;0
;;13 Uhr;0;24;0
;;15 Uhr;0;42;0
;;17 Uhr;0;32;0
;;19 Uhr;0;2;0
;;;;;
Donnerstag,;22.3.18;9 Uhr;0;11;0
;;11 Uhr;0;33;0
;;13 Uhr;0;22;0
;;15 Uhr;0;35;0
;;17 Uhr;0;17;0
;;19 Uhr;0;3;0
;;;;;
Freitag,;23.3.18;9 Uhr;0;6;0
;;11 Uhr;0;23;0
;;13 Uhr;0;31;0
;;15 Uhr;0;29;1
;;17 Uhr;0;23;0
;;19 Uhr;0;6;1
;;;;;
Samstag,;24.3.18;9 Uhr;0;19;0
;;11 Uhr;0;28;0
;;13 Uhr;0;20;2
;;15 Uhr;1;24;1
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;26.3.18;9 Uhr;0;11;0
;;11 Uhr;0;19;0
;;13 Uhr;1;20;1
;;15 Uhr;0;34;1
;;17 Uhr;2;34;2
;;19 Uhr;1;11;1
;;;;;
Dienstag,;27.3.18;9 Uhr;0;14;0
;;11 Uhr;0;29;1
;;13 Uhr;1;32;1
;;15 Uhr;2;41;0
;;17 Uhr;1;23;1
;;19 Uhr;0;7;0
;;;;;
Mittwoch,;28.3.18;9 Uhr;0;9;0
;;11 Uhr;0;25;0
;;13 Uhr;0;26;1
;;15 Uhr;0;30;1
;;17 Uhr;0;22;1
;;19 Uhr;0;4;1
;;;;;
Donnerstag,;29.3.18;9 Uhr;0;8;0
;;11 Uhr;0;21;0
;;13 Uhr;0;28;0
;;15 Uhr;0;34;2
;;17 Uhr;0;23;1
;;19 Uhr;0;0;0
;;;;;
Freitag,;30.3.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Samstag,;31.3.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;2.4.18;9 Uhr;0;0;0
;;11 Uhr;0;0;0
;;13 Uhr;0;0;0
;;15 Uhr;0;0;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Dienstag,;3.4.18;9 Uhr;0;19;0
;;11 Uhr;0;44;1
;;13 Uhr;1;28;0
;;15 Uhr;1;59;0
;;17 Uhr;0;38;0
;;19 Uhr;0;2;0
;;;;;
Mittwoch,;4.4.18;9 Uhr;0;11;0
;;11 Uhr;1;38;0
;;13 Uhr;0;34;1
;;15 Uhr;0;56;0
;;17 Uhr;0;33;0
;;19 Uhr;0;7;0
;;;;;
Donnerstag,;5.4.18;9 Uhr;0;16;0
;;11 Uhr;0;39;0
;;13 Uhr;0;29;0
;;15 Uhr;0;53;0
;;17 Uhr;0;28;0
;;19 Uhr;0;15;0
;;;;;
Freitag,;6.4.18;9 Uhr;0;13;0
;;11 Uhr;0;38;1
;;13 Uhr;0;34;0
;;15 Uhr;0;41;0
;;17 Uhr;0;16;0
;;19 Uhr;0;3;0
;;;;;
Samstag,;7.4.18;9 Uhr;1;12;0
;;11 Uhr;0;26;0
;;13 Uhr;0;23;1
;;15 Uhr;0;27;1
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;9.4.18;9 Uhr;0;7;0
;;11 Uhr;0;21;0
;;13 Uhr;0;27;1
;;15 Uhr;2;30;0
;;17 Uhr;2;31;2
;;19 Uhr;0;14;0
;;;;;
Dienstag,;10.4.18;9 Uhr;0;12;0
;;11 Uhr;0;33;1
;;13 Uhr;0;21;0
;;15 Uhr;0;34;1
;;17 Uhr;0;28;0
;;19 Uhr;0;11;0
;;;;;
Mittwoch,;11.4.18;9 Uhr;0;11;0
;;11 Uhr;0;31;0
;;13 Uhr;0;35;1
;;15 Uhr;0;49;1
;;17 Uhr;0;35;0
;;19 Uhr;0;7;0
;;;;;
Donnerstag,;12.4.18;9 Uhr;0;18;0
;;11 Uhr;0;33;0
;;13 Uhr;0;32;2
;;15 Uhr;1;30;0
;;17 Uhr;0;26;0
;;19 Uhr;0;8;0
;;;;;
Freitag,;13.4.18;9 Uhr;0;12;0
;;11 Uhr;0;40;0
;;13 Uhr;1;50;0
;;15 Uhr;1;53;0
;;17 Uhr;0;34;0
;;19 Uhr;0;12;0
;;;;;
Samstag,;14.4.18;9 Uhr;0;8;0
;;11 Uhr;0;35;0
;;13 Uhr;0;28;0
;;15 Uhr;1;25;0
;;17 Uhr;0;0;0
;;19 Uhr;0;0;0
;;;;;
Montag,;16.4.18;9 Uhr;0;20;0
;;11 Uhr;1;39;0
;;13 Uhr;0;38;0
;;15 Uhr;0;54;0
;;17 Uhr;1;43;0
;;19 Uhr;0;11;0
;;;;;
Dienstag,;17.4.18;9 Uhr;0;20;0
;;11 Uhr;0;38;0
;;13 Uhr;0;25;2
;;15 Uhr;1;40;0
